date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:11	20091/20091	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Feb%202023%2019:48:11%20GMT	https://www.asb.com/app/	C:/My%20Web%20Sites/asb/www.asb.com/app/index.html	(from https://acsbapp.com/apps/app/dist/js/app.js)
14:48:12	20091/20091	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Feb%202023%2019:48:12%20GMT	https://www.asb.com/dist/audio/	C:/My%20Web%20Sites/asb/www.asb.com/dist/audio/index.html	(from https://acsbapp.com/apps/app/dist/js/app.js)
14:48:12	1856441/1856441	---M--	200	added ('OK')	image/jpeg	etag:%221c53b9-5e1d7249-b79ac5ee39517e13;;;%22	https://acsbapp.com/apps/app/dist/media/whl.jpg	C:/My%20Web%20Sites/asb/acsbapp.com/apps/app/dist/media/whl.jpg	(from https://acsbapp.com/apps/app/dist/js/app.js)
14:48:12	20091/20091	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Feb%202023%2019:48:12%20GMT	https://www.asb.com/dist/js/app.js	C:/My%20Web%20Sites/asb/www.asb.com/dist/js/app.js	(from https://acsbapp.com/apps/app/dist/js/app.js)
14:48:13	34834/34834	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:13%20GMT	https://www.asb.com/?remote=getBase64DataRemote&image=	C:/My%20Web%20Sites/asb/www.asb.com/indexde0b.html	(from https://acsbapp.com/apps/app/dist/js/app.js)
14:48:13	20091/20091	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Feb%202023%2019:48:13%20GMT	https://www.asb.com/Trident/	C:/My%20Web%20Sites/asb/www.asb.com/Trident/index.html	(from https://acsbapp.com/apps/app/dist/js/app.js)
14:48:14	34834/34834	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:14%20GMT	https://www.asb.com/?remote=processAnalyticsRemote	C:/My%20Web%20Sites/asb/www.asb.com/indexdca0.html	(from https://acsbapp.com/apps/app/dist/js/app.js)
14:48:14	136706/136706	---MC-	200	added ('OK')	image/jpeg	etag:%22befdfd7065bbf230ab02fa272464d2ec%22	https://www.asb.com/assets/files/zkxuavE0/subheader_business06.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/zkxuavE0/subheader_business06.jpg	(from https://www.asb.com/business/business-checking)
14:48:14	184205/184205	---MC-	200	added ('OK')	image/jpeg	etag:%22b9db306daec731c73a01a3e8ee50a57c%22	https://www.asb.com/assets/files/ToJPxznl/subheader_business09.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/ToJPxznl/subheader_business09.jpg	(from https://www.asb.com/business/business-banking)
14:48:14	701498/701498	---MC-	200	added ('OK')	image/png	etag:%225e7267147fd52e4865865c4a25505da6%22	https://www.asb.com/assets/files/qpfwo6n7/man%20sitting%20at%20desk%20with%20computers%20and%20documents.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/qpfwo6n7/man%20sitting%20at%20desk%20with%20computers%20and%20documents.png	(from https://www.asb.com/business/business-checking)
14:48:15	227523/227523	---MC-	200	added ('OK')	image/jpeg	etag:%227cee025145d0aa98e9f6de09ae3e1228%22	https://www.asb.com/assets/files/aHfiarbO/subheader_business11.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/aHfiarbO/subheader_business11.jpg	(from https://www.asb.com/business/business-loans)
14:48:15	257892/257892	---MC-	200	added ('OK')	image/jpeg	etag:%22e5d6e3a85fa0f85c89be74a5a62a76c0%22	https://www.asb.com/assets/files/Mhsq13tz/wide-ad_digitalbanking01.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/Mhsq13tz/wide-ad_digitalbanking01.jpg	(from https://www.asb.com/business/business-banking)
14:48:15	266971/266971	---MC-	200	added ('OK')	image/jpeg	etag:%22d878cd811f58ec4035da1526d40f4a48%22	https://www.asb.com/assets/files/yMy59XWn/wide-ad_community.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/yMy59XWn/wide-ad_community.jpg	(from https://www.asb.com/business/business-loans)
14:48:15	197540/197540	---MC-	200	added ('OK')	image/jpeg	etag:%229c77785281433919e7662b95d512ecce%22	https://www.asb.com/assets/files/MuwJkCsG/subheader_business02.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/MuwJkCsG/subheader_business02.jpg	(from https://www.asb.com/business/business-credit-cards)
14:48:16	2165/2165	---MC-	200	added ('OK')	image/png	etag:%22e95a1cd3b0dd54427febcb50b3402587%22	https://www.asb.com/assets/files/xlStVJ7M/icon-community2-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/xlStVJ7M/icon-community2-30px.png	(from https://www.asb.com/business/business-credit-cards)
14:48:16	213630/213630	---MC-	200	added ('OK')	image/jpeg	etag:%22df06cf94239436535f7e803a1d2b61da%22	https://www.asb.com/assets/files/RCGJmUwl/subheader_business16.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/RCGJmUwl/subheader_business16.jpg	(from https://www.asb.com/business/business-services)
14:48:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Feb%202023%2019:48:17%20GMT	https://www.asb.com/about/locations--atms-	C:/My%20Web%20Sites/asb/www.asb.com/about/locations--atms-	(from https://www.asb.com/business/business-services)
14:48:17	174551/174551	---MC-	200	added ('OK')	image/jpeg	etag:%2287ba9abf935f78b55a0ac4f10c7a54a3%22	https://www.asb.com/assets/files/e1j3e88U/subheader_business13.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/e1j3e88U/subheader_business13.jpg	(from https://www.asb.com/business/cash-management)
14:48:17	72855/72855	---MC-	200	added ('OK')	image/jpeg	etag:%22065d03ca997bf67246a16e3b3b745e0a%22	https://www.asb.com/assets/files/Lll2FICz/header-mature-couple-kitchen.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/Lll2FICz/header-mature-couple-kitchen.jpg	(from https://www.asb.com/personal/personal-checking)
